French,English
aide,help
genre,kind
laisser,let
mettre,to put
laisse,leash
ville,city
chaque,each
bébé,baby
heures,hours
pendant,while
revoir,meet again
aucune,any
parle,speak
étaient,were
attention,Warning
pourrais,could
donner,give
type,type
leurs,their
train,train
façon,way
perdu,lost
vieux,old
tiens,here
enfant,child
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
attendez,Wait
compte,account
loin,far
fin,end
aura,will have
jouer,to play
bureau,office
